id,name,feature,lat,lon,nearest_node,attraction_score
0,横浜すみれが丘郵便局,post_office,35.5656004,139.5810522,2187246414,0.5
1,横浜センター北駅前郵便局,post_office,35.553232,139.5778401,10712492257,0.5
2,ヨークフーズ,supermarket,35.5648367,139.5843071,3803654352,0.4
3,マルエツ,supermarket,35.5638119,139.5701832,10732935709,0.4
4,AOKI,clothes,35.5611952,139.5801688,1303245512,0.4
5,江戸前びっくり寿司,restaurant,35.5560047,139.577823,9983573509,0.5
6,しゃぶしゃぶ 木曽路,restaurant,35.5569178,139.5788174,10721114732,0.5
7,かに料理 横浜甲羅本店,restaurant,35.5575546,139.5777957,1728170096,0.5
8,まいばすけっと,supermarket,35.5628043,139.5701188,2555365272,0.4
9,横浜キャンパス図書館,library,35.5617244,139.5752785,7368660671,0.8
10,学生食堂,restaurant,35.561503,139.5742961,2616953964,0.5
11,学生ホール,cafe,35.5613973,139.5745311,2616953964,0.6
12,都筑阪急,mall,35.5550704,139.5775365,8411280138,0.7
13,CAFE LEXCEL,cafe,35.5536904,139.5792721,10624985150,0.6
14,スターバックス,cafe,35.5545684,139.5781306,8411280183,0.6
15,本格焼肉 ふくひろ亭,restaurant,35.5621863,139.5726205,1303244922,0.5
16,季節料理 喜多川,restaurant,35.5630755,139.5700014,9933290458,0.5
17,ラーメン なかがわ亭,restaurant,35.5630536,139.5700376,9933290458,0.5
18,中華料理 博,restaurant,35.5635086,139.5693222,2555242407,0.5
19,Atelier KiD,clothes,35.5622048,139.5721578,1704650216,0.4
20,BAR DE ESPANA Zorro,restaurant,35.5641324,139.5698356,2587567965,0.5
21,リンガーハット,restaurant,35.5657488,139.5759926,6394962503,0.5
22,焼肉市場 げんかや,restaurant,35.5582658,139.578773,1704577713,0.5
23,究極ラーメン 横濱家,restaurant,35.565627,139.5761522,6394962503,0.5
24,サイゼリヤ,restaurant,35.5549543,139.5781411,2639302690,0.5
25,老麺魂,restaurant,35.563505,139.5837442,7369033922,0.5
26,RADIKA,restaurant,35.563478,139.5840909,7369033922,0.5
27,ベンチライブラリー,library,35.55509,139.5754135,6452247824,0.8
28,JA横浜ハマッ子直売所,supermarket,35.5534943,139.5799692,6452362832,0.4
