generation,best_fitness
1,18.526617
2,18.526617
3,18.526617
4,18.526617
5,18.526617
6,18.526617
7,16.778427
8,15.792101
9,15.792101
10,15.792101
11,15.792101
12,15.792101
13,15.792101
14,9.244261
15,9.244261
16,9.244261
17,9.244261
18,9.244261
19,9.244261
20,9.244261
21,9.244261
22,9.244261
23,9.244261
24,9.244261
25,9.244261
26,9.244261
27,9.244261
28,9.244261
29,9.244261
30,9.244261
31,9.244261
32,9.244261
33,9.244261
34,9.244261
35,9.244261
36,9.244261
37,8.714738
38,6.801531
39,6.801531
40,6.801531
41,6.801531
42,6.801531
43,6.801531
44,6.801531
45,6.801531
46,6.801531
47,6.801531
48,6.801531
49,6.801531
50,6.801531
51,6.801531
52,6.801531
53,6.801531
54,6.801531
55,6.640638
56,6.640638
57,6.640638
58,6.640638
59,0.724939
60,0.724939
61,0.724939
62,0.724939
63,0.724939
64,0.724939
65,0.724939
66,0.724939
67,0.724939
68,0.724939
69,0.724939
70,0.724939
71,0.724939
72,0.724939
73,0.724939
74,0.724939
75,0.724939
76,0.724939
77,0.724939
78,0.724939
79,0.724939
80,0.724939
81,0.724939
82,0.724939
83,0.724939
84,0.724939
85,0.724939
86,0.724939
87,0.724939
88,0.724939
89,0.551090
90,0.551090
91,0.551090
92,0.551090
93,0.551090
94,0.551090
95,0.551090
96,0.551090
97,0.551090
98,0.551090
99,0.551090
100,0.551090
